mon1,mon2,polym,polymer_class,chi_mean,chi_std,Tg_mean,Tg_std,LogP,SA_Score
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC1CCC(CC2CCC(N=C=O)CC2)CC1,*C1CCC(CC2CCC(N3CC(COc4ccc(C(C)(C)c5ccc(OCC6CN(*)C(=O)O6)cc5)cc4)OC3=O)CC2)CC1,polyoxazolidone,1.601,0.256,69.257,13.108,7.353,4.419798654634999
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=Nc1cccc(N=C=O)c1,*c1cccc(N2CC(COc3ccc(C(C)(C)c4ccc(OCC5CN(*)C(=O)O5)cc4)cc3)OC2=O)c1,polyoxazolidone,0.642,0.114,134.018,15.076,4.255,4.125666365700363
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCC1CCCC(CN=C=O)C1,*CC1CCCC(CN2CC(COc3ccc(C(C)(C)c4ccc(OCC5CN(*)C(=O)O5)cc4)cc3)OC2=O)C1,polyoxazolidone,1.189,0.222,111.2,8.771,5.65,4.603341755259549
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=Nc1ccc(N=C=O)cc1,*c1ccc(N2CC(COc3ccc(C(C)(C)c4ccc(OCC5CN(*)C(=O)O5)cc4)cc3)OC2=O)cc1,polyoxazolidone,0.054,0.181,130.137,10.45,4.255,4.125527904161902
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,*CC1(C)CC(N2CC(COc3ccc(C(C)(C)c4ccc(OCC5CN(*)C(=O)O5)cc4)cc3)OC2=O)CC(C)(C)C1,polyoxazolidone,1.309,0.377,109.485,9.85,6.429,4.772650397544714
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,*C1CC(C)(C)CC(C)(CN2CC(COc3ccc(C(C)(C)c4ccc(OCC5CN(*)C(=O)O5)cc4)cc3)OC2=O)C1,polyoxazolidone,1.464,0.33,112.497,14.543,6.43,4.850330782160098
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=Nc1ccc(-c2ccc(N=C=O)c(Cl)c2)cc1Cl,*c1ccc(-c2ccc(N3CC(COc4ccc(C(C)(C)c5ccc(OCC6CN(*)C(=O)O6)cc5)cc4)OC3=O)c(Cl)c2)cc1Cl,polyoxazolidone,0.113,0.192,187.673,14.469,7.229,4.261235587227964
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=Nc1ccc(C(c2ccc(N=C=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,*c1ccc(C(c2ccc(N3CC(COc4ccc(C(C)(C)c5ccc(OCC6CN(*)C(=O)O6)cc5)cc4)OC3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,polyoxazolidone,0.464,0.246,137.358,10.503,7.666,4.548306117808856
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(CCCCN=C=O)C(C)(C)N=C=O,*N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(CCCCC(C)C(*)(C)C)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.02,0.12,80.652,14.369,6.43,4.456991125756066
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(CCCCN=C=O)C(C)(C)N=C=O,*CCCCC(C)C(C)(C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.76,0.153,97.729,11.395,6.429,4.673038463034173
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,S=C=NCCN=C=S,*CCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,2.153,0.307,82.734,13.983,4.173,4.418826009883686
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCN=C=O,*CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.648,0.111,121.37,9.157,3.383,4.123901868188704
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,S=C=NCCCN=C=S,*CCCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,1.583,0.324,80.815,12.731,4.564,4.423279751744825
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,S=C=NCN=C=S,*CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,1.707,0.273,103.992,11.694,3.713,4.368305233573318
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCCCCN=C=O,*CCCCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.645,0.219,85.177,12.115,4.624,4.1786624181875816
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,C=C=C(CN=C=S)N=C=S,*C(=C=C)CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,1.492,0.349,112.002,8.988,4.424,4.603034658255205
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,C=C=C(CN=C=S)N=C=S,*CC(=C=C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,0.392,0.308,101.921,11.524,4.842,4.67442356358065
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,S=C=NCC#CCN=C=S,*CC#CCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,0.975,0.426,87.327,8.757,4.177,4.574832528077691
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC(=O)N=C=O,*C(=O)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.403,0.226,118.44,12.841,3.545,4.132174732589551
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCCN=C=O,*CCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.564,0.284,87.154,12.127,3.844,4.162523911981588
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(N=C=O)N=C=O,*C(C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.095,0.294,93.33,8.793,3.771,4.323876091598219
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCCCN=C=O,*CCCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.608,0.221,85.309,13.375,4.234,4.174515950839848
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C)(N=C=S)N=C=S,*N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(C(*)(C)C)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,2.062,0.294,73.663,8.227,4.491,4.417038692921296
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,S=C=N/C=C/N=C=S,*C=CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,2.842,0.228,98.746,9.991,4.226,4.55118125463893
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,S=C=NC(=S)N=C=S,*C(=S)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,0.574,0.354,119.628,9.181,4.04,4.4155249680683575
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C(N=C=S)N=C=S,*C(=O)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,-0.071,0.214,113.553,10.255,3.875,4.371302048131152
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC(=O)N=C=S,*C(=O)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=O,polyoxazolidone,0.157,0.203,121.319,11.446,3.71,4.240070179999284
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC(=O)N=C=S,*C(=O)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=S,polyoxazolidone,-0.001,0.202,102.095,11.392,3.71,4.263406600721419
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,S=C=N/C=C\CN=C=S,*C/C=C\N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,0.56,0.297,75.118,10.144,4.687,4.604508258532157
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,S=C=N/C=C\CN=C=S,*C=CCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,2.691,0.222,38.91,16.779,4.269,4.510492873916771
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=N/C=C/N=C=O,*C=CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.243,0.232,96.488,9.687,3.897,4.325353282610958
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(CN=C=O)N=C=O,*C(C)CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.876,0.179,87.897,12.329,4.234,4.3752540357650815
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(CN=C=O)N=C=O,*CC(C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.859,0.204,99.712,8.312,4.232,4.390360052520603
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=N/C=C/CCN=C=O,*CC/C=C/N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.426,0.137,64.258,10.082,4.747,4.43425318741835
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=N/C=C/CCN=C=O,*C=CCCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.37,0.171,47.988,11.321,4.329,4.285629890715054
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(CN=C=S)N=C=S,*C(C)CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,2.972,0.223,76.486,13.53,4.564,4.607558224645507
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(CN=C=S)N=C=S,*CC(C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,1.985,0.347,84.398,12.393,4.562,4.622272162193109
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CCC(CN=C=O)N=C=O,*C(CC)CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.507,0.217,79.199,14.697,4.624,4.446861074624095
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CCC(CN=C=O)N=C=O,*CC(CC)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.07,0.289,66.89,11.854,4.622,4.437347169298652
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CCC(N=C=O)N=C=O,*C(CC)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,2.275,0.427,83.805,9.745,4.161,4.397033624493185
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,C=C(N=C=O)N=C=O,*C(=C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.088,0.177,115.826,13.161,3.897,4.182092942950618
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,C=CC=C(N=C=O)N=C=O,*C(=CC=C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.411,0.263,133.417,15.35,4.453,4.357493090207869
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,C=CC(CN=C=O)N=C=O,*C(C=C)CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.759,0.222,85.152,12.382,4.4,4.511906045038296
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,C=CC(CN=C=O)N=C=O,*CC(C=C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.514,0.164,94.924,9.563,4.398,4.553268766931787
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C)=C(N=C=O)N=C=O,*C(=C(C)C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.242,0.206,118.585,12.118,4.677,4.254366478787176
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C)(N=C=O)N=C=O,*N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(C(*)(C)C)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.935,0.135,95.181,10.594,4.161,4.183790539075142
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(N=C=O)C(C)N=C=O,*C(C)C(C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.839,0.362,103.949,10.543,4.622,4.560222925231332
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCCCN=C=S,*CCCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=O,polyoxazolidone,0.294,0.211,92.796,10.458,4.399,4.278180204233513
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCCCN=C=S,*CCCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=S,polyoxazolidone,0.234,0.241,93.275,10.239,4.399,4.319615498351161
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCCCCN=C=S,*CCCCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=O,polyoxazolidone,0.502,0.244,93.002,7.543,4.789,4.279364835769999
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCCCCN=C=S,*CCCCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=S,polyoxazolidone,0.068,0.263,93.846,9.228,4.789,4.319616264341428
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCCN=C=S,*CCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=O,polyoxazolidone,0.598,0.348,91.813,7.984,4.009,4.269329506387182
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCCN=C=S,*CCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=S,polyoxazolidone,-0.337,0.22,94.321,10.139,4.009,4.312020415478092
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(CCN=C=O)N=C=O,*C(C)CCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.285,0.222,68.674,12.567,4.624,4.371372908943621
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(CCN=C=O)N=C=O,*CCC(C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.284,0.242,104.6,7.486,4.622,4.423640808351906
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CCC(C)(N=C=O)N=C=O,*N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(C(*)(C)CC)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.833,0.118,111.996,11.686,4.552,4.433610853448705
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC(S)N=C=O,*C(S)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.663,0.285,105.871,10.007,3.639,4.397192889086444
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C)(CN=C=O)N=C=O,*N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(CC(*)(C)C)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.248,0.186,102.4,9.183,4.624,4.2225472106766455
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C)(CN=C=O)N=C=O,*CC(C)(C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.529,0.222,88.507,6.627,4.622,4.268438472812568
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC=C=CCN=C=O,*CC=C=CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.822,0.248,106.996,11.415,4.512,4.561550769835932
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC=C=CCN=C=O,*C=C=CCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.592,0.197,81.467,11.14,4.094,4.455522198407362
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(/C=C/N=C=O)N=C=O,*C(C)/C=C/N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.883,0.256,71.701,10.392,4.747,4.560251755097467
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(/C=C/N=C=O)N=C=O,*C=CC(C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.909,0.33,88.785,10.063,4.328,4.536335187050129
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC/C=C/CN=C=O,*C/C=C/CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.491,0.208,58.568,13.138,4.4,4.321048352253516
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CCCC(N=C=O)N=C=O,*C(CCC)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.9,0.356,80.142,8.388,4.552,4.400003826103384
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CCC(=CN=C=O)N=C=O,*C(=CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O)CC,polyoxazolidone,0.677,0.181,91.763,11.324,4.677,4.387189096125029
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CCC(=CN=C=O)N=C=O,*C=C(CC)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.33,0.304,93.858,11.557,4.677,4.337303001450472
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC=CCCN=C=O,*CCC=CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.426,0.137,64.258,10.082,4.747,4.43425318741835
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC(F)N=C=O,*C(F)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.29,0.273,91.313,7.901,3.678,4.352359608081734
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC=CC=CN=C=O,*C=CC=CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,1.037,0.305,94.232,7.397,4.453,4.469612308297471
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCC=CCN=C=O,*CC=CCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.491,0.208,58.568,13.138,4.4,4.321048352253516
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(N=C=S)N=C=S,*C(C)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=S)O4)cc3)cc2)OC1=S,polyoxazolidone,3.013,0.193,83.278,7.889,4.101,4.554380644188484
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C=CN=C=O)N=C=O,*C(C)C=CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.883,0.256,71.701,10.392,4.747,4.560251755097467
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(CN=C=O)CN=C=O,*CC(C)CN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.564,0.154,88.239,13.744,4.48,4.431128382316403
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NC(O)N=C=O,*C(O)N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.347,0.244,102.374,9.457,2.701,4.342514710122551
